Description,Prix/m²,Tél. commercial,Conseiller immobilier,Source
Lot de 77 parcelles de terrains dans une résidence sécurisée à Ambohijanaka- Antananarivo,145 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65561/Vente-Terrain-ANTANANARIVO-TANANARIVE-Lot-de-77-parcelles-de-terrains-dans-une-residence-securisee-a-Ambohijanaka-Antananarivo.html
Lot de 77 parcelles de terrains dans une résidence sécurisé à Ambohijanaka- Antananarivo,150 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65461/Vente-Terrain-ANTANANARIVO-TANANARIVE-Lot-de-77-parcelles-de-terrains-dans-une-residence-securise-a-Ambohijanaka-Antananarivo.html
a vendre beau terrain de 1680Mé sur la RN3,158 222 600 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/65324/Vente-Terrain-ANTANANARIVO-TANANARIVE-a-vendre-beau-terrain-de-1680Me-sur-la-RN3.html
A vendre terrain de 4160 m2 à Tsimahandry - Ambohidratrimo,161 325 000 Ar,,,https://www.ofim.mg/60434/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-terrain-de-4160-m2-a-Tsimahandry-Ambohidratrimo.html
"Terrain plat, prêt à bâtir de 680 m2, accessible voiture à Itasoy- Antananarivo",170 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68214/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-plat-pret-a-batir-de-680-m2-accessible-voiture-a-Itasoy-Antananarivo.html
A vendre un magnifique terrain de 1 ha pour résidence secondaire à belanitra ivato,173 000 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/46869/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-magnifique-terrain-de-1-ha-pour-residence-secondaire-a-belanitra-ivato.html
"Terrain de 1240 m2, en bord de route en pavé, à Ilafy Antsampandrano-Antananarivo",175 872 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67500/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-1240-m2-en-bord-de-route-en-pave-a-Ilafy-Antsampandrano-Antananarivo.html
vente d'un terrain de 1640m2 à Iavoloha Bonngatsra,184 500 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/66903/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-d-un-terrain-de-1640m2-a-Iavoloha-Bonngatsra.html
Vente d'une propriété de 2843m2 à Lazaina Ambohidahy,199 010 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65243/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-d-une-propriete-de-2843m2-a-Lazaina-Ambohidahy.html
à vendre terrain de 2075M2 à ambatomena Ahi/trimo,207 500 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/67132/Vente-Terrain-ANTANANARIVO-TANANARIVE-a-vendre-terrain-de-2075M2-a-ambatomena-Ahi-trimo.html
,0,,,
Tres beau terrain de 4236 m2 à Ambohijanaka Amboanjobe,210 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/61627/Vente-Terrain-ANTANANARIVO-TANANARIVE-Tres-beau-terrain-de-4236-m2-a-Ambohijanaka-Amboanjobe.html
